lemma:	##
Mánesův_;S_/(*2)	132
Melantrichův-1_;S_/(*4-1)	131
Netanjahuův_;S_/(*2)	130
pánův_/(*2)	130
Gottwaldův_;S_/(*2)	130
kramářův_/(*2)	130
Kantův_;S_/(*2)	129
rejskův_/(*3ek)	129
hráčův_/(*2)	129
Barrandův_;S	128
Figarův_;S_;Y_/(*2o)	127
Schindlerův_;S_/(*2)	127
Johnův_;S_/(*2)	127
Opletalův_;S_/(*2)	126
Dobsonův_;S_/(*2)	124
primátorův_/(*2)	124
Riegrův_;S_/(*2)	123
sousedův_/(*2)	123
trenérův_/(*2)	123
Holanův_;S_/(*2)	123
Aristotelův_;Y_/(*2es)	122
Lawrencův	122
člověkův_/(^UV*2)	122
Thomayerův_;S_/(*2)	121
Nedvědův_;S_/(*2)	120
Tereziin_;Y_/(*2e)	120
Frankův_;S_/(*3cův)	120
Kirchhoffův_;S_/(*2)	119
lékařův_/(*2)	119
Heideggerův_;S_/(*2)	118
doktorův_/(*2)	118
Sorosův_;S_/(*2)	117
Brahmsův_;S_/(*2)	116
Arafatův_;S_/(*2)	116
Svěrákův_;S_/(*2)	115
Grégrův_;S_/(*2)	115
Čechův-1_;E_/(*4-1)	115
Bezručův_;S_/(*2)	114
Wolkrův_;S_/(*3er)	114
Moravcův_;S_/(*3ec)	113
Kočárníkův_;S_/(*2)	113
Martinův-1_;Y_/(*4-1)	112
Šrámkův_;S_/(*3ek)	111
Gogolův_;S_/(*2)	111
Plečnikův_;S_/(*2)	110
Schröderův_;S_/(*2)	109
Schubertův_;S_/(*2)	109
Damoklův_;S_;Y_/(*2es)	109
Sacharovův_;S_/(*2)	108
princeznin_/(*2a)	107
Zahradníčkův_;S_/(*3ek)	107
Wolfův_;S_/(*2)	107
Puškinův_;S_/(*2)	107
ředitelův_/(*2)	106
Evin_;Y_/(*2a)	106
Markův_;Y_/(*3ek)	106
Nezvalův_;S_/(*2)	105
Viktoriin-1_;Y_/(ženské_jméno)_(*4a-1)	104
Valdštejnův_;S_/(*2)	104
Dudajevův_;S_/(*2)	104
vepřův_/(*2)	102
Patočkův_;S_/(*2a)	102
Jirkův_;Y_/(*2a)	102
kapitánův_/(*2)	100
křesťanův_/(*2)	100
Darwinův_;S_/(*2)	100
Chopinův_;S_/(*2)	99
Jacksonův_;S_/(*2)	98
Frantův_;Y_/(*2a)	98
Sovův_;S_/(*2a)	98
Hornův_;S_/(*2)	98
Haydnův_;S_/(*2)	97
Procházkův_;S_/(*2a)	97
Koračův_;S_/(*2)	97
hercův_/(*3ec)	97
Alláhův_;S_;Y_/(*2)	97
Švehlův_;S_/(*2a)	97
Resslův_;S_/(*2)	97
Gollův_;S_/(*2)	96
Ortenův_;S_/(*2)	96
Němcův-1_;S_/(*5ec-1)	96
Kordův_;S_/(*2a)	96
řidičův_/(*2)	96
Poláčkův_;S_/(*3ek)	95
zpěvákův_/(*2)	95
Kováčův_;S_/(*2)	94
Honeckerův_;S_/(*2)	93
Husajnův_;S_/(*2)	93
Mendelův_;S_/(*2)	93
prokopův_/(*2)	93
Haiderův_;S_/(*2)	92
Kupkův_;S_/(*2a)	92
Muchův_;S_/(*2a)	91
Brežněvův_;S_/(*2)	91
protivníkův_/(*2)	91
Hlinkův-1_;S_/(*4a-1)	91
Vávrův_;S_/(*2a)	91
Straussův_;S_/(*2)	91
Rybův-1_;S_/(*4a-1)	91
Mitterrandův_;S_/(*2)	91
Špálův_;S_/(*2a)	90
Gabrielův_;Y_/(*2)	90
Eiffelův_;S_/(*2)	90
partnerův_/(*2)	90
Parkinsonův_;S_/(*2)	89
strýcův_/(*2)	89
Churchillův_;S_/(*2)	88
Sudkův_;S_/(*3ek)	88
Alzheimerův_;S_/(*2)	88
prorokův_/(*2)	88
Adamův_;Y_/(*2)	88
kancléřův_/(*2)	88
Johnsonův_;S_/(*2)	88
vévodův_/(*2a)	88
Irenin_;Y_/(*2a)	87
Černomyrdinův_;S_/(*2)	87
Uhrinův_;S_/(*2)	87
Allenův_;S_/(*2)	87
mladíkův_/(*2)	87
Fordův-3_;S_/(*4-3)	87
Bílkův_;S_/(*3ek)	86
Krakonošův_;Y_/(*2)	86
Dubčekův_;S_/(*2)	86
Penův_;S_/(*2)	85
Grossův_;S_/(*2)	85
Einsteinův_;S_/(*2)	84
Husákův_;S_/(*2)	84
Charlesův_;Y_/(*2)	84
Paulův_;Y_/(*2)	83
Muhammadův_;S_/(*2)	83
Erbenův_;S_/(*2)	83
Burianův_;S_/(*2)	83
Hubblův_;S_/(*2e)	82
Jágrův_;S_/(*2)	82
Rathův_;S_/(*2)	82
Jonesův-1_;S_/(*4-1)	82
Kainarův_;S_/(*2)	82
Nosticův_;S_/(*2)	81
Holečkův_;S_/(*3ek)	81
mámin_/(*2a)	81
Williamsův_;S_/(*2)	81
Talichův_;S_/(*2)	81
Werichův_;S_/(*2)	80
Faustův_;S_/(*2)	80
Pulitzerův_;S_/(*2)	80
Koukalův_;S_/(*2)	79
čtenářův_/(*2)	79
kaprův_/(*2)	79
Veroničin_;Y_/(*3ka)	79
Dostálův_;S_/(*2)	78
Milanův_;Y_/(*2)	78
Schumacherův_;S_/(*2)	78
Langův_;S_/(*2)	78
Beckerův_;S_/(*2)	78
Jakův_;R_/(*2)	77
Noemův_;S_;Y_/(*3)	77
kardinálův_/(*2)	77
Baštův-1_;S_/(*4a-1)	77
Skálův_;S_/(*2a)	77
komandantův_/(*2)	77
Beringův_;S_/(*2)	76
Bergmanův_;S_/(*2)	76
Chrisův_;Y_/(*2)	76
Ikarův_;S_/(*2us)	76
Solženicynův_;S_/(*2)	76
Joannin_;Y_/(*2a)	75
Duškův_;S_/(*3ek)	75
Simpsonův_;S_/(*2)	75
nevěstin_/(*2a)	74
Gallupův_;S_/(*2a)	74
Lukášův_;Y_/(*2)	74
Hubbleův_;S	74
Hitchcockův_;S_/(*2)	74
Fibichův_;S_/(*2)	74
Kollárův_;S_/(*2)	73
dceřin	73
přítelův_/(^UV*2)	73
překladatelův_/(*2)	73
sochařův_/(*2)	73
Titův_;S_/(*2o)	73
Hoffmannův_;S_/(*2)	73
Rockefellerův_;S_/(*2)	73
panovníkův_/(*2)	73
šéfův_/(*2)	73
Knížákův_;S_/(*2)	73
Durychův_;S_/(*2)	73
Grebeníčkův_;S_/(*3ek)	72
Ibsenův_;S_/(*2)	72
Menzelův_;S_/(*2)	72
Hájkův_;S_/(*3ek)	72
Joeův_;Y	72
Krylův_;S_/(*2)	72
Václavův_;Y_/(*2)	71
Bartošův_;S_/(*2)	71
Jakobsonův_;S_/(*2)	71
Zuzanin_;Y_/(*2a)	71
Schillerův_;S_/(*2)	71
Orwellův_;S_/(*2)	71
Foglarův_;S_/(*2)	71
Babelův_;S_/(*2)	70
Millerův_;S_/(*2)	70
Kardašův_;S_/(*2)	70
Dienstbierův_;S_/(*2)	70
předsedův_/(*2a)	70
Tigridův-1_;S_/(*4-1)	70
Reaganův_;S_/(*2)	70
profesorův_/(*2)	70
Purkyňův_;S_/(*3ně)	69
Doleův_;S_/(*2)	69
Rembrandtův_;S_/(*2)	69
Caesarův_;Y_/(*2)	69
Sušilův_;S_/(*2)	69
Gaullův_;S_/(*2e)	69
Poděbradův_;S_/(*2)	69
Albertin-2_;Y_/(*4a-2)	69
Beckettův_;S_/(*2)	68
Sartrův_;S_/(*2a)	68
Dantův_;S_;Y_/(*2e)	68
Březinův-1_;S_/(*4a-1)	68
Legerův_;S_/(*2)	68
Kühnův_;S_/(*2)	68
Brownův_;S_/(*2)	68
Augustův_;S_/(*2a)	68
Guinessův_;S_/(*2)	68
Honzův_;Y_/(dom._Jan)_(*2a)	67
Bernhardův_;Y_/(*2)	67
Robertův_;Y_/(*2)	67
podnikatelův_/(*2)	67
Lebeďův_;S_/(*2)	66
Korbelův_;S_/(*2a)	66
Arbesův_;S_/(*2)	66
daňkův_/(*4něk)	66
Hartův-1_;S_/(*4-1)	65
zákazníkův_/(*2)	65
Pyrrhův_;S_;Y_/(*2us)	65
Weissův_;S_/(*2)	65
Ceaušeskův_;S_/(*3cu)	65
Griffithův_;S_/(*2)	65
Vincentův_;Y_/(*2)	65
Leonardův_;Y_/(*2o)	65
kohoutův-1_/(pták)_(*4-1)	64
Chotkův_;S_/(*3ek)	64
Nickův_;Y_/(*2)	64
Fragnerův_;S_/(*2)	64
vypravěčův_/(*2)	64
Lukašenkův_;S_/(*2o)	64
Cookův_;S_/(*2)	64
Paterův_;S_/(*2a)	63
farářův_/(*2)	63
liščin-2_/(*5ka-2)	63
Wallisův_;G_;S_/(*2)	63
vojáčkův_/(*3ek)	63
Annin_;Y_/(*2a)	63
Händelův_;S_/(*2)	63
Bernsteinův_;S_/(*2)	62
Peresův_;S_/(*2)	62
Nixonův_;S_/(*2)	62
Slavíkův_;S_/(*2)	62
Cézannův_;S_/(*2e)	62
Goghův_;S	62
Vojtěchův_;Y_/(*2)	62
Maův_;Y_/(*2o)	62
Leksellův_;S_/(*2)	62
dědův_/(*2a)	62
Neumannův_;G_/(*2)	61
Jupiterův-2_;Y_/(*4-2)	61
Sokratův_;S_/(*2es)	61
sestřin_/(*3ra)	61
Michelangelův_;S_/(*2o)	61
Gottův_;S_/(*2)	61
Konstantinův_;S_;Y_/(*2)	61
Ocalanův_;S_/(*2)	61
magorův_/(*2)	61
Alexandřin_;Y_/(*3ra)	61
Jakeův_;Y_,t	61
Brechtův_;S_/(*2)	61
Wortnerův_;S_/(*2)	61
Topolův_;S_/(*2a)	60
Šalomounův_;S_/(*2)	60
emin_/(*2a)	60
Grandsaillesův	60
Barakův_;S_/(*2)	60
