#all cities of United States for weather info purposes (possibly world known cities)
#city	state
Anamoose	anamoose
Anamosa	anamosa
Anatone	anatone
Anchorage	anchorage
Anchor	anchor
Anchorville	anchorville
Anco	anco
Ancona	ancona
Ancram	ancram
Ancramdale	ancramdale
Andale	andale
Andalusia	andalusia
Anderson	anderson
Anderson Island	anderson island
Andersonville	andersonville
Andes	andes
Andice	andice
Andover	andover
Andreas	andreas
Andrew	andrew
Andrews Afb	andrews afb
Andrews	andrews
Aneta	aneta
Aneth	aneth
Angela	angela
Angelica	angelica
Angels Camp	angels camp
Angelus Oaks	angelus oaks
Angie	angie
Angier	angier
Angle Inlet	angle inlet
Angleton	angleton
Angola	angola
Angoon	angoon
Angora	angora
Anguilla	anguilla
Angus	angus
Angwin	angwin
Animas	animas
Anita	anita
Aniwa	aniwa
Ankeny	ankeny
Anna	anna
Annada	annada
Annandale	annandale
Annapolis	annapolis
Annapolis Juncti	annapolis juncti
Ann Arbor	ann arbor
Annawan	annawan
Anniston	anniston
Annona	annona
Annville	annville
Ansley	ansley
Anson	anson
Ansonia	ansonia
Ansted	ansted
Antelope	antelope
Anthon	anthon
Anthony	anthony
Antigo	antigo
Antimony	antimony
Antioch	antioch
Antler	antler
Antlers	antlers
Antoine	antoine
Anton	anton
Anton Chico	anton chico
Antonia	antonia
Antonino	antonino
Antonito	antonito
Antrim	antrim
Antwerp	antwerp
Anutt	anutt
Anvik	anvik
Anza	anza
Apache	apache
Apache Junction	apache junction
Apalachicola	apalachicola
Apalachin	apalachin
Apex	apex
Apison	apison
Aplington	aplington
Apollo	apollo
Apollo Beach	apollo beach
Apopka	apopka
Appam	appam
Appleby	appleby
Apple Creek	apple creek
Applegate	applegate
Apple Grove	apple grove
Apple River	apple river
Apple Springs	apple springs
Appleton	appleton
Appleton City	appleton city
Apple Valley	apple valley
Appling	appling
Appomattox	appomattox
Aptos	aptos
Aquasco	aquasco
Aquilla	aquilla
Aquone	aquone
Arab	arab
Arabi	arabi
Aragon	aragon
Aransas Pass	aransas pass
Arapaho	arapaho
Arapahoe	arapahoe
Ararat	ararat
Arbela	arbela
Arboles	arboles
Arbon	arbon
Arbovale	arbovale
Arbuckle	arbuckle
Arbyrd	arbyrd
Arcade	arcade
Arcadia	arcadia
Archbold	archbold
Archdale	archdale
Archer	archer
Archie	archie
Arco	arco
Arcola	arcola
Arctic Village	arctic village
Ardara	ardara
Arden	arden
Ardmore	ardmore
Ardoch	ardoch
Ardsley	ardsley
Aredale	aredale
Arena	arena
Arenzville	arenzville
Argillite	argillite
Argo	argo
Argonia	argonia
Argonne	argonne
Argos	argos
Argus	argus
Argusville	argusville
Argyle	argyle
Ariel	ariel
Arimo	arimo
Arion	arion
Ariton	ariton
Arizona Boys Ran	arizona boys ran
Arjay	arjay
Arkadelphia	arkadelphia
Arkansas City	arkansas city
Arkansaw	arkansaw
Arkdale	arkdale
Arkoma	arkoma
Arkport	arkport
Arkville	arkville
Arlee	arlee
Arleta	arleta
Arley	arley
Arlington	arlington
Arlington Height	arlington height
Armada	armada
Armagh	armagh
Armbrust	armbrust
Armington	armington
Arminto	arminto
Armona	armona
Armonk	armonk
Armorel	armorel
Armour	armour
Armstrong	armstrong
Armstrong Creek	armstrong creek
Armstrong Mills	armstrong mills
Armuchee	armuchee
Arnaudville	arnaudville
Arnegard	arnegard
Arnett	arnett
Arnold	arnold
Arnoldsburg	arnoldsburg
Arnolds Park	arnolds park
Arnoldsville	arnoldsville
Arock	arock
Aroda	aroda
Aroma Park	aroma park
Aromas	aromas
Arona	arona
Arp	arp
Arpin	arpin
Arrey	arrey
Arriba	arriba
Arrington	arrington
Arrowsmith	arrowsmith
Arroyo Hondo	arroyo hondo
Arroyo Seco	arroyo seco
Arsenal	arsenal
Art	art
Artas	artas
Artemas	artemas
Artemus	artemus
Artesia	artesia
Arthur	arthur
Arthur City	arthur city
Artie	artie
Arundel	arundel
Arvada	arvada
Arvilla	arvilla
Arvin	arvin
Arvonia	arvonia
Ary	ary
Asbury	asbury
Asco	asco
Ash	ash
Ashaway	ashaway
Ashburn	ashburn
Ashburnham	ashburnham
Ashby	ashby
Ashcamp	ashcamp
Ashdown	ashdown
Asher	asher
Asherton	asherton
Asheville	asheville
Ashfield	ashfield
Ashford	ashford
Ash Fork	ash fork
Ash Grove	ash grove
Ashkum	ashkum
Ashland	ashland
Ashland City	ashland city
Ashley	ashley
Ashley Falls	ashley falls
Ashmore	ashmore
Ashtabula	ashtabula
Ashton	ashton
Ashuelot	ashuelot
Ashville	ashville
Ashwaubenon	ashwaubenon
Ashwood	ashwood
Askew	askew
Askov	askov
Asotin	asotin
Aspen	aspen
Aspen Hill	aspen hill
Aspermont	aspermont
Aspers	aspers
Aspinwall	aspinwall
Assaria	assaria
Assawoman	assawoman
Assonet	assonet
Assumption	assumption
Astatula	astatula
Aston	aston
Astor	astor
Astoria	astoria
Atalissa	atalissa
Atascadero	atascadero
Atascosa	atascosa
Atchison	atchison
Atglen	atglen
Athelstane	athelstane
Athena	athena
Athens	athens
Atherton	atherton
Athol	athol
Atkins	atkins
Atkinson	atkinson
Atlanta	atlanta
Atlantic	atlantic
Atlantic Beach	atlantic beach
Atlantic City	atlantic city
Atlantic Highlan	atlantic highlan
Atlantic Mine	atlantic mine
Atmautluak	atmautluak
Atmore	atmore
Atoka	atoka
Attalla	attalla
Attapulgus	attapulgus
Atterbury	atterbury
Attica	attica
Attleboro	attleboro
Atwater	atwater
Atwood	atwood
Auberry	auberry
Aubrey	aubrey
Auburn	auburn
Auburndale	auburndale
Auburn Hills	auburn hills
Auburntown	auburntown
Audubon	audubon
Au Gres	au gres
Augusta	augusta
Aulander	aulander
Ault	ault
Aultman	aultman
Aurelia	aurelia
Aurora	aurora
Au Sable Chasm	au sable chasm
Au Sable Forks	au sable forks
Austell	austell
Austerlitz	austerlitz
Austin	austin
Austinburg	austinburg
Austintown	austintown
Austinville	austinville
Austonio	austonio
Autaugaville	autaugaville
Auto	auto
Au Train	au train
Autryville	autryville
Auxier	auxier
Auxvasse	auxvasse
Ava	ava
Avalon	avalon
Avella	avella
Avenal	avenal
Avenel	avenel
Avenue	avenue
Avera	avera
Averill	averill
Averill Park	averill park
Avery	avery
Avilla	avilla
Avinger	avinger
Avoca	avoca
Avon	avon
Avon By The Sea	avon by the sea
Avondale	avondale
Avondale Estates	avondale estates
Avon Lake	avon lake
Avonmore	avonmore
Avon Park	avon park
Awendaw	awendaw
Axis	axis
Axson	axson
Axtell	axtell
Axton	axton
Ayden	ayden
Aydlett	aydlett
Ayer	ayer
Aylett	aylett
Aylor	aylor
Aynor	aynor
Ayr	ayr
Ayrshire	ayrshire
