Agnos	36.219732|-91.610746|Arkansas
Agra	35.882548|-96.877940|Oklahoma
Agra	39.803701|-99.125543|Kansas
Agricola	30.866722|-88.593391|Mississippi
Agua Dulce	34.459742|-118.488955|California
Aguanga	33.447306|-116.799693|California
Aguilar	37.393304|-104.676926|Colorado
Ahoskie	36.295737|-76.996632|North Carolina
Ahsahka	46.510318|-116.371537|Idaho
Ahwahnee	37.407631|-119.723251|California
Aiea	21.390795|-157.933237|Hawaii
Aiken	33.531868|-81.594702|South Carolina
Aiken	33.553024|-81.719429|South Carolina
Ailey	32.214262|-82.476190|Georgia
Aimwell	31.761898|-91.992491|Louisiana
Ainsworth	41.320226|-91.547173|Iowa
Ainsworth	42.540270|-99.861491|Nebraska
Airlie	38.725930|-77.764809|Virginia
Airport	27.896713|-82.676876|Florida
Airville	39.821012|-76.401179|Pennsylvania
Aitkin	46.479929|-93.645413|Minnesota
Akaska	45.332447|-100.118614|South Dakota
Akeley	47.000987|-94.723430|Minnesota
Akhiok	57.781967|-152.500169|Alaska
Akiachak	60.891854|-161.392330|Alaska
Akiak	60.890632|-161.199325|Alaska
Akron	40.157086|-76.205295|Pennsylvania
Akron	40.180315|-103.225885|Colorado
Akron	40.979120|-81.534680|Ohio
Akron	41.033442|-81.438528|Ohio
Akron	41.038921|-86.039471|Indiana
Akron	41.040774|-81.559825|Ohio
Akron	41.044852|-81.520048|Ohio
Akron	41.047910|-81.491554|Ohio
Akron	41.063784|-81.520005|Ohio
Akron	41.069465|-81.548786|Ohio
Akron	41.076029|-81.464409|Ohio
Akron	41.079576|-81.519363|Ohio
Akron	41.080808|-81.508526|Ohio
Akron	41.083496|-81.567440|Ohio
Akron	41.091988|-81.542015|Ohio
Akron	41.102508|-81.538609|Ohio
Akron	41.107547|-81.500586|Ohio
Akron	41.121995|-81.568487|Ohio
Akron	42.835392|-96.522450|Iowa
Akron	43.024944|-78.508365|New York
Akron	43.584373|-83.539262|Michigan
Akutan	54.143012|-165.785368|Alaska
Alabama	43.071888|-78.385231|New York
Aladdin	44.747331|-104.193140|Wyoming
Alakanuk	62.746967|-164.602280|Alaska
Alameda	35.195612|-106.659138|New Mexico
Alamo	26.190578|-98.116445|Texas
Alamo	32.132980|-82.794445|Georgia
Alamo	34.241178|-107.340647|New Mexico
Alamo	35.801697|-89.176465|Tennessee
Alamo	37.325866|-115.308032|Nevada
Alamo	37.853695|-122.022868|California
Alamogordo	32.893186|-105.948544|New Mexico
Alamo Heights	29.488623|-98.455774|Texas
Alamosa	37.470274|-105.878602|Colorado
Alamota	38.474588|-100.458023|Kansas
Alanson	45.440545|-84.792421|Michigan
Alapaha	31.394027|-83.213210|Georgia
Alba	32.765235|-95.597102|Texas
Albany	30.514872|-90.596415|Louisiana
Albany	31.567783|-84.161923|Georgia
Albany	31.578908|-84.211834|Georgia
Albany	32.719005|-99.319581|Texas
Albany	36.685690|-85.140677|Kentucky
Albany	37.890045|-122.295394|California
Albany	39.209664|-82.217727|Ohio
Albany	40.251282|-94.326977|Missouri
Albany	40.292049|-85.257987|Indiana
Albany	41.765874|-90.208051|Illinois
Albany	42.641314|-73.764071|New York
Albany	42.641665|-73.785385|New York
Albany	42.655989|-73.796357|New York
Albany	42.656770|-73.760520|New York
Albany	42.658133|-73.752327|New York
Albany	42.668326|-73.774406|New York
Albany	42.684667|-73.735364|New York
Albany	42.715535|-89.435695|Wisconsin
Albany	44.627722|-123.094409|Oregon
Albany	44.734427|-72.341810|Vermont
Albany	45.615114|-94.574022|Minnesota
Albee	45.022142|-96.562366|South Dakota
Albemarle	35.357276|-80.204363|North Carolina
Alberene	37.961992|-78.695414|Virginia
Albers	38.531955|-89.620151|Illinois
Albert	30.224921|-98.655468|Texas
Albert	35.715938|-103.746132|New Mexico
Albert	38.475758|-98.980714|Kansas
Alberta	32.144889|-87.342503|Alabama
Alberta	36.880609|-77.905518|Virginia
Alberta	45.557086|-96.049772|Minnesota
Albert City	42.778403|-94.982380|Iowa
Albert Lea	43.653678|-93.370672|Minnesota
Alberton	46.980610|-114.492139|Montana
Albertson	35.117647|-77.851517|North Carolina
Albertson	40.770320|-73.651419|New York
Albertville	34.273859|-86.206447|Alabama
Albertville	45.253425|-93.646899|Minnesota
Albia	41.028718|-92.794619|Iowa
Albin	41.434237|-104.150542|Wyoming
Albion	38.374003|-88.063557|Illinois
Albion	39.215934|-123.721366|California
Albion	41.348217|-85.414183|Indiana
Albion	41.704947|-97.999116|Nebraska
Albion	42.114270|-92.988210|Iowa
Albion	42.258073|-84.756052|Michigan
Albion	43.239827|-78.206846|New York
Albion	44.535527|-69.468286|Maine
Alborn	46.978229|-92.557937|Minnesota
Albright	39.570116|-79.635811|West Virginia
Albrightsville	40.974786|-75.584206|Pennsylvania
Albuquerque	35.044761|-106.689341|New Mexico
Albuquerque	35.051209|-106.726861|New Mexico
Albuquerque	35.055443|-106.595802|New Mexico
Albuquerque	35.056116|-106.550605|New Mexico
Albuquerque	35.071660|-106.509003|New Mexico
Albuquerque	35.072586|-106.574864|New Mexico
Albuquerque	35.079011|-106.616917|New Mexico
Albuquerque	35.081831|-106.648171|New Mexico
