Brooklyn	brooklyn
ATLANTIC AV/3 AV	atlantic avenue third avenue; atlantic avenue and third avenue; atlantic avenue on third avenue; third avenue atlantic avenue
ATLANTIC AV/4 AV	atlantic avenue fourth avenue; atlantic avenue and fourth avenue; atlantic avenue on fourth avenue; fourth avenue atlantic avenue
ATLANTIC AV/74 PL	atlantic avenue seventy fourth place; atlantic avenue and seventy fourth place; atlantic avenue on seventy fourth place; seventy fourth place atlantic avenue
ATLANTIC AV/75 ST	atlantic avenue seventy fifth street; atlantic avenue and seventy fifth street; atlantic avenue on seventy fifth street; seventy fifth street atlantic avenue
ATLANTIC AV/76 ST	atlantic avenue seventy sixth street; atlantic avenue and seventy sixth street; atlantic avenue on seventy sixth street; seventy sixth street atlantic avenue
ATLANTIC AV/77 ST	atlantic avenue seventy seventh street; atlantic avenue and seventy seventh street; atlantic avenue on seventy seventh street; seventy seventh street atlantic avenue
ATLANTIC AV/78 ST	atlantic avenue seventy eighth street; atlantic avenue and seventy eighth street; atlantic avenue on seventy eighth street; seventy eighth street atlantic avenue
ATLANTIC AV/80 ST	atlantic avenue eightieth street; atlantic avenue and eightieth street; atlantic avenue on eightieth street; eightieth street atlantic avenue
ATLANTIC AV/82 PL	atlantic avenue eighty second place; atlantic avenue and eighty second place; atlantic avenue on eighty second place; eighty second place atlantic avenue
ATLANTIC AV/82 ST	atlantic avenue eighty second street; atlantic avenue and eighty second street; atlantic avenue on eighty second street; eighty second street atlantic avenue
ATLANTIC AV/84 ST	atlantic avenue eighty fourth street; atlantic avenue and eighty fourth street; atlantic avenue on eighty fourth street; eighty fourth street atlantic avenue
ATLANTIC AV/85 ST	atlantic avenue eighty fifth street; atlantic avenue and eighty fifth street; atlantic avenue on eighty fifth street; eighty fifth street atlantic avenue
ATLANTIC AV/86 ST	atlantic avenue eighty sixth street; atlantic avenue and eighty sixth street; atlantic avenue on eighty sixth street; eighty sixth street atlantic avenue
ATLANTIC AV/88 ST	atlantic avenue eighty eighth street; atlantic avenue and eighty eighth street; atlantic avenue on eighty eighth street; eighty eighth street atlantic avenue
ATLANTIC AV/90 ST	atlantic avenue ninetieth street; atlantic avenue and ninetieth street; atlantic avenue on ninetieth street; ninetieth street atlantic avenue
ATLANTIC AV/92 ST	atlantic avenue ninety second street; atlantic avenue and ninety second street; atlantic avenue on ninety second street; ninety second street atlantic avenue
ATLANTIC AV/96 ST	atlantic avenue ninety sixth street; atlantic avenue and ninety sixth street; atlantic avenue on ninety sixth street; ninety sixth street atlantic avenue
Atlantic Av	atlantic avenue
ATLANTIC AV/AUTUMN AV	atlantic avenue autumn avenue; atlantic avenue and autumn avenue; atlantic avenue on autumn avenue; autumn avenue atlantic avenue
ATLANTIC AV/BARBEY ST	atlantic avenue barbey street; atlantic avenue and barbey street; atlantic avenue on barbey street; barbey street atlantic avenue
Atlantic Av - Barclays Ctr	atlantic avenue barclays center; atlantic avenue and barclays center; atlantic avenue on barclays center; barclays center atlantic avenue
ATLANTIC AV/BERRIMAN ST	atlantic avenue berriman street; atlantic avenue and berriman street; atlantic avenue on berriman street; berriman street atlantic avenue
ATLANTIC AV/BOERUM PL	atlantic avenue boerum place; atlantic avenue and boerum place; atlantic avenue on boerum place; boerum place atlantic avenue
ATLANTIC AV/BOND ST	atlantic avenue bond street; atlantic avenue and bond street; atlantic avenue on bond street; bond street atlantic avenue
ATLANTIC AV/BRADFORD ST	atlantic avenue bradford street; atlantic avenue and bradford street; atlantic avenue on bradford street; bradford street atlantic avenue
ATLANTIC AV/CARLTON AV	atlantic avenue carlton avenue; atlantic avenue and carlton avenue; atlantic avenue on carlton avenue; carlton avenue atlantic avenue
ATLANTIC AV/CHESTNUT ST	atlantic avenue chestnut street; atlantic avenue and chestnut street; atlantic avenue on chestnut street; chestnut street atlantic avenue
ATLANTIC AV/CLEVELAND ST	atlantic avenue cleveland street; atlantic avenue and cleveland street; atlantic avenue on cleveland street; cleveland street atlantic avenue
ATLANTIC AV/CLINTON ST	atlantic avenue clinton street; atlantic avenue and clinton street; atlantic avenue on clinton street; clinton street atlantic avenue
ATLANTIC AV/COURT ST	atlantic avenue court street; atlantic avenue and court street; atlantic avenue on court street; court street atlantic avenue
ATLANTIC AV/CRESCENT ST	atlantic avenue crescent street; atlantic avenue and crescent street; atlantic avenue on crescent street; crescent street atlantic avenue
ATLANTIC AV/CUMBERLAND ST	atlantic avenue cumberland street; atlantic avenue and cumberland street; atlantic avenue on cumberland street; cumberland street atlantic avenue
ATLANTIC AV/ELDERT LA	atlantic avenue eldert la; atlantic avenue and eldert la; atlantic avenue on eldert la; eldert la atlantic avenue
ATLANTIC AV/ELTON ST	atlantic avenue elton street; atlantic avenue and elton street; atlantic avenue on elton street; elton street atlantic avenue
ATLANTIC AV/ESSEX ST	atlantic avenue essex street; atlantic avenue and essex street; atlantic avenue on essex street; essex street atlantic avenue
ATLANTIC AV/EUCLID AV	atlantic avenue euclid avenue; atlantic avenue and euclid avenue; atlantic avenue on euclid avenue; euclid avenue atlantic avenue
ATLANTIC AV/FLATBUSH AV	atlantic avenue flatbush avenue; atlantic avenue and flatbush avenue; atlantic avenue on flatbush avenue; flatbush avenue atlantic avenue
ATLANTIC AV/GRANT AV	atlantic avenue grant avenue; atlantic avenue and grant avenue; atlantic avenue on grant avenue; grant avenue atlantic avenue
ATLANTIC AV/HALE AV	atlantic avenue hale avenue; atlantic avenue and hale avenue; atlantic avenue on hale avenue; hale avenue atlantic avenue
ATLANTIC AV/HENDRIX ST	atlantic avenue hendrix street; atlantic avenue and hendrix street; atlantic avenue on hendrix street; hendrix street atlantic avenue
ATLANTIC AV/HENRY ST	atlantic avenue henry street; atlantic avenue and henry street; atlantic avenue on henry street; henry street atlantic avenue
ATLANTIC AV/HICKS ST	atlantic avenue hicks street; atlantic avenue and hicks street; atlantic avenue on hicks street; hicks street atlantic avenue
ATLANTIC AV/HOYT ST	atlantic avenue hoyt street; atlantic avenue and hoyt street; atlantic avenue on hoyt street; hoyt street atlantic avenue
ATLANTIC AV/LEFFERTS BL	atlantic avenue lefferts boulevard; atlantic avenue and lefferts boulevard; atlantic avenue on lefferts boulevard; lefferts boulevard atlantic avenue
ATLANTIC AV/LINCOLN AV	atlantic avenue lincoln avenue; atlantic avenue and lincoln avenue; atlantic avenue on lincoln avenue; lincoln avenue atlantic avenue
ATLANTIC AV/LINWOOD ST	atlantic avenue linwood street; atlantic avenue and linwood street; atlantic avenue on linwood street; linwood street atlantic avenue
ATLANTIC AV/LOGAN ST	atlantic avenue logan street; atlantic avenue and logan street; atlantic avenue on logan street; logan street atlantic avenue
ATLANTIC AV/MILFORD ST	atlantic avenue milford street; atlantic avenue and milford street; atlantic avenue on milford street; milford street atlantic avenue
ATLANTIC AV/MILLER AV	atlantic avenue miller avenue; atlantic avenue and miller avenue; atlantic avenue on miller avenue; miller avenue atlantic avenue
ATLANTIC AV/NEVINS ST	atlantic avenue nevins street; atlantic avenue and nevins street; atlantic avenue on nevins street; nevins street atlantic avenue
ATLANTIC AV/PENNSYLVANIA AV	atlantic avenue pennsylvania avenue; atlantic avenue and pennsylvania avenue; atlantic avenue on pennsylvania avenue; pennsylvania avenue atlantic avenue
ATLANTIC AV/SCHENCK AV	atlantic avenue schenck avenue; atlantic avenue and schenck avenue; atlantic avenue on schenck avenue; schenck avenue atlantic avenue
ATLANTIC AV/SHEPHERD AV	atlantic avenue shepherd avenue; atlantic avenue and shepherd avenue; atlantic avenue on shepherd avenue; shepherd avenue atlantic avenue
ATLANTIC AV/SHERIDAN AV	atlantic avenue sheridan avenue; atlantic avenue and sheridan avenue; atlantic avenue on sheridan avenue; sheridan avenue atlantic avenue
ATLANTIC AV/SMITH ST	atlantic avenue smith street; atlantic avenue and smith street; atlantic avenue on smith street; smith street atlantic avenue
ATLANTIC AV/VANDERBILT AV	atlantic avenue vanderbilt avenue; atlantic avenue and vanderbilt avenue; atlantic avenue on vanderbilt avenue; vanderbilt avenue atlantic avenue
ATLANTIC AV/VAN SICLEN AV	atlantic avenue van siclen avenue; atlantic avenue and van siclen avenue; atlantic avenue on van siclen avenue; van siclen avenue atlantic avenue
ATLANTIC AV/VAN WYCK EXP W	atlantic avenue van wyck exp w; atlantic avenue and van wyck exp w; atlantic avenue on van wyck exp w; van wyck exp w atlantic avenue
ATLANTIC AV/VERMONT ST	atlantic avenue vermont street; atlantic avenue and vermont street; atlantic avenue on vermont street; vermont street atlantic avenue
ATLANTIC AV/WARWICK ST	atlantic avenue warwick street; atlantic avenue and warwick street; atlantic avenue on warwick street; warwick street atlantic avenue
ATLANTIC AV/WASHINGTON AV	atlantic avenue washington avenue; atlantic avenue and washington avenue; atlantic avenue on washington avenue; washington avenue atlantic avenue
ATLANTIC AV/WAVERLY AV	atlantic avenue waverly avenue; atlantic avenue and waverly avenue; atlantic avenue on waverly avenue; waverly avenue atlantic avenue
ATLANTIC AV/WOODHAVEN BL	atlantic avenue woodhaven boulevard; atlantic avenue and woodhaven boulevard; atlantic avenue on woodhaven boulevard; woodhaven boulevard atlantic avenue
ATLANTIC AV/WYONA ST	atlantic avenue wyona street; atlantic avenue and wyona street; atlantic avenue on wyona street; wyona street atlantic avenue
AUDUBON AV/W 165 ST	audubon avenue west hundred and sixty fifth street; audubon avenue and west hundred and sixty fifth street; audubon avenue on west hundred and sixty fifth street; west hundred and sixty fifth street audubon avenue; audubon avenue west one hundred and sixty fifth street; audubon avenue and west one hundred and sixty fifth street; audubon avenue on west one hundred and sixty fifth street; west one hundred and sixty fifth street audubon avenue
Audubon Terrace	audubon terrace
AUSTIN ST/69 RD	austin street sixty ninth road; austin street and sixty ninth road; austin street on sixty ninth road; sixty ninth road austin street
AUSTIN ST/70 RD	austin street seventieth road; austin street and seventieth road; austin street on seventieth road; seventieth road austin street
AUSTIN ST /82 AV	austin street eighty second avenue; austin street and eighty second avenue; austin street on eighty second avenue; eighty second avenue austin street
AUSTIN ST /MOWBRAY DR	austin street mowbray drive; austin street and mowbray drive; austin street on mowbray drive; mowbray drive austin street
AV A/E 11 ST	avenue a east eleventh street; avenue a and east eleventh street; avenue a on east eleventh street; east eleventh street avenue a
AV A/E 3 ST	avenue a east third street; avenue a and east third street; avenue a on east third street; east third street avenue a
AV A/E 5 ST	avenue a east fifth street; avenue a and east fifth street; avenue a on east fifth street; east fifth street avenue a
AV A/E 6 ST	avenue a east sixth street; avenue a and east sixth street; avenue a on east sixth street; east sixth street avenue a
AV A/E 9 ST	avenue a east ninth street; avenue a and east ninth street; avenue a on east ninth street; east ninth street avenue a
AV A/E HOUSTON ST	avenue a east houston street; avenue a and east houston street; avenue a on east houston street; east houston street avenue a
AV A/ST MARKS PL	avenue a saint marks place; avenue a and saint marks place; avenue a on saint marks place; saint marks place avenue a
AV B/E 87 ST	avenue b east eighty seventh street; avenue b and east eighty seventh street; avenue b on east eighty seventh street; east eighty seventh street avenue b
AV B/RALPH AV	avenue b ralph avenue; avenue b and ralph avenue; avenue b on ralph avenue; ralph avenue avenue b
AV B/REMSEN AV	avenue b remsen avenue; avenue b and remsen avenue; avenue b on remsen avenue; remsen avenue avenue b
AV C/E 10 ST	avenue c east tenth street; avenue c and east tenth street; avenue c on east tenth street; east tenth street avenue c
AV C/E 11 ST	avenue c east eleventh street; avenue c and east eleventh street; avenue c on east eleventh street; east eleventh street avenue c
AV C/E 12 ST	avenue c east twelfth street; avenue c and east twelfth street; avenue c on east twelfth street; east twelfth street avenue c
AV C/E 14 ST	avenue c east fourteenth street; avenue c and east fourteenth street; avenue c on east fourteenth street; east fourteenth street avenue c
AV C/E 16 ST	avenue c east sixteenth street; avenue c and east sixteenth street; avenue c on east sixteenth street; east sixteenth street avenue c
AV C/E 18 ST	avenue c east eighteenth street; avenue c and east eighteenth street; avenue c on east eighteenth street; east eighteenth street avenue c
AV C/E 20 ST	avenue c east twentieth street; avenue c and east twentieth street; avenue c on east twentieth street; east twentieth street avenue c
AV C / E 23 ST	avenue c east twenty third street; avenue c and east twenty third street; avenue c on east twenty third street; east twenty third street avenue c
AV C/E 3 ST	avenue c east third street; avenue c and east third street; avenue c on east third street; east third street avenue c
AV C/E 5 ST	avenue c east fifth street; avenue c and east fifth street; avenue c on east fifth street; east fifth street avenue c
AV C/E 6 ST	avenue c east sixth street; avenue c and east sixth street; avenue c on east sixth street; east sixth street avenue c
AV C/E 7 ST	avenue c east seventh street; avenue c and east seventh street; avenue c on east seventh street; east seventh street avenue c
AV C/E 8 ST	avenue c east eighth street; avenue c and east eighth street; avenue c on east eighth street; east eighth street avenue c
AV C/FDR DRIVE	avenue c fdr drive; avenue c and fdr drive; avenue c on fdr drive; fdr drive avenue c
AV D/BROOKLYN AV	avenue d brooklyn avenue; avenue d and brooklyn avenue; avenue d on brooklyn avenue; brooklyn avenue avenue d
AV D/E 31 ST	avenue d east thirty first street; avenue d and east thirty first street; avenue d on east thirty first street; east thirty first street avenue d
AV D/E 35 ST	avenue d east thirty fifth street; avenue d and east thirty fifth street; avenue d on east thirty fifth street; east thirty fifth street avenue d
AV D/E 37 ST	avenue d east thirty seventh street; avenue d and east thirty seventh street; avenue d on east thirty seventh street; east thirty seventh street avenue d
AV D/E 38 ST	avenue d east thirty eighth street; avenue d and east thirty eighth street; avenue d on east thirty eighth street; east thirty eighth street avenue d
AV D/E 39 ST	avenue d east thirty ninth street; avenue d and east thirty ninth street; avenue d on east thirty ninth street; east thirty ninth street avenue d
AV D/E 40 ST	avenue d east fourtieth street; avenue d and east fourtieth street; avenue d on east fourtieth street; east fourtieth street avenue d
AV D/E 42 ST	avenue d east fourty second street; avenue d and east fourty second street; avenue d on east fourty second street; east fourty second street avenue d
AV D/E 43 ST	avenue d east fourty third street; avenue d and east fourty third street; avenue d on east fourty third street; east fourty third street avenue d
AV D/E 45 ST	avenue d east fourty fifth street; avenue d and east fourty fifth street; avenue d on east fourty fifth street; east fourty fifth street avenue d
AV D/E 46 ST	avenue d east fourty sixth street; avenue d and east fourty sixth street; avenue d on east fourty sixth street; east fourty sixth street avenue d
AV D/E 48 ST	avenue d east fourty eighth street; avenue d and east fourty eighth street; avenue d on east fourty eighth street; east fourty eighth street avenue d
AV D/E 52 ST	avenue d east fifty second street; avenue d and east fifty second street; avenue d on east fifty second street; east fifty second street avenue d
AV D/E 53 ST	avenue d east fifty third street; avenue d and east fifty third street; avenue d on east fifty third street; east fifty third street avenue d
AV D/E 5 ST	avenue d east fifth street; avenue d and east fifth street; avenue d on east fifth street; east fifth street avenue d
AV D/E 6 ST	avenue d east sixth street; avenue d and east sixth street; avenue d on east sixth street; east sixth street avenue d
AV D/E 8 ST	avenue d east eighth street; avenue d and east eighth street; avenue d on east eighth street; east eighth street avenue d
AV D/E 9 ST	avenue d east ninth street; avenue d and east ninth street; avenue d on east ninth street; east ninth street avenue d
AV D/EAST 3 ST	avenue d east third street; avenue d and east third street; avenue d on east third street; east third street avenue d
AV D/EAST 8 ST	avenue d east eighth street; avenue d and east eighth street; avenue d on east eighth street; east eighth street avenue d
AV D/E HOUSTON ST	avenue d east houston street; avenue d and east houston street; avenue d on east houston street; east houston street avenue d
AV D/KINGS HY	avenue d kings hy; avenue d and kings hy; avenue d on kings hy; kings hy avenue d
AV D/LOOP	avenue d loop; avenue d and loop; avenue d on loop; loop avenue d
AV D/NEW YORK AV	avenue d new york avenue; avenue d and new york avenue; avenue d on new york avenue; new york avenue avenue d
AV D/NOSTRAND AV	avenue d nostrand avenue; avenue d and nostrand avenue; avenue d on nostrand avenue; nostrand avenue avenue d
AV D/ROGERS AV	avenue d rogers avenue; avenue d and rogers avenue; avenue d on rogers avenue; rogers avenue avenue d
AV D/SCHENECTADY AV	avenue d schenectady avenue; avenue d and schenectady avenue; avenue d on schenectady avenue; schenectady avenue avenue d
AV D/UTICA AV	avenue d utica avenue; avenue d and utica avenue; avenue d on utica avenue; utica avenue avenue d
AVENUE C/E 23 ST	avenue c east twenty third street; avenue c and east twenty third street; avenue c on east twenty third street; east twenty third street avenue c
Avenue H	avenue h
Avenue I	avenue i
Avenue J	avenue j
Avenue M	avenue m
Avenue N	avenue north
Avenue P	avenue p
Avenue U	avenue u
Avenue X	avenue x
Avery Fisher Hall	avery fisher hall
AV H/ALBANY AV	avenue h albany avenue; avenue h and albany avenue; avenue h on albany avenue; albany avenue avenue h
AV H / E 32 ST	avenue h east thirty second street; avenue h and east thirty second street; avenue h on east thirty second street; east thirty second street avenue h
AV H / E 38 ST	avenue h east thirty eighth street; avenue h and east thirty eighth street; avenue h on east thirty eighth street; east thirty eighth street avenue h
AV H / E 39 ST	avenue h east thirty ninth street; avenue h and east thirty ninth street; avenue h on east thirty ninth street; east thirty ninth street avenue h
AV H/E 43 ST	avenue h east fourty third street; avenue h and east fourty third street; avenue h on east fourty third street; east fourty third street avenue h
AV H/E 45 ST	avenue h east fourty fifth street; avenue h and east fourty fifth street; avenue h on east fourty fifth street; east fourty fifth street avenue h
AV H/E 48 ST	avenue h east fourty eighth street; avenue h and east fourty eighth street; avenue h on east fourty eighth street; east fourty eighth street avenue h
AV H/E 52 ST	avenue h east fifty second street; avenue h and east fifty second street; avenue h on east fifty second street; east fifty second street avenue h
AV H/E 54 ST	avenue h east fifty fourth street; avenue h and east fifty fourth street; avenue h on east fifty fourth street; east fifty fourth street avenue h
AV H / E 56 ST	avenue h east fifty sixth street; avenue h and east fifty sixth street; avenue h on east fifty sixth street; east fifty sixth street avenue h
AV H/E 56 ST	avenue h east fifty sixth street; avenue h and east fifty sixth street; avenue h on east fifty sixth street; east fifty sixth street avenue h
AV H/Faltbush (not allowed)	avenue h/faltbush not allowed; avenue h/faltbush and not allowed; avenue h/faltbush on not allowed
AV H/FLATBUSH AV	avenue h flatbush avenue; avenue h and flatbush avenue; avenue h on flatbush avenue; flatbush avenue avenue h
AV H / NEW YORK AV	avenue h new york avenue; avenue h and new york avenue; avenue h on new york avenue; new york avenue avenue h
AV H / SCHENECTADY AV	avenue h schenectady avenue; avenue h and schenectady avenue; avenue h on schenectady avenue; schenectady avenue avenue h
AV H/SCHENECTADY AV	avenue h schenectady avenue; avenue h and schenectady avenue; avenue h on schenectady avenue; schenectady avenue avenue h
AV H / UTICA AV	avenue h utica avenue; avenue h and utica avenue; avenue h on utica avenue; utica avenue avenue h
AV H/UTICA AV	avenue h utica avenue; avenue h and utica avenue; avenue h on utica avenue; utica avenue avenue h
AV I/CONEY ISLAND AV	avenue i coney island avenue; avenue i and coney island avenue; avenue i on coney island avenue; coney island avenue avenue i
AV I/E 3 ST	avenue i east third street; avenue i and east third street; avenue i on east third street; east third street avenue i
AV I/E 7 ST	avenue i east seventh street; avenue i and east seventh street; avenue i on east seventh street; east seventh street avenue i
AV I/E 9 ST	avenue i east ninth street; avenue i and east ninth street; avenue i on east ninth street; east ninth street avenue i
AV I/MC DONALD AV	avenue i mc donald avenue; avenue i and mc donald avenue; avenue i on mc donald avenue; mc donald avenue avenue i
AV I/OCEAN PY	avenue i ocean parkway; avenue i and ocean parkway; avenue i on ocean parkway; ocean parkway avenue i
AV J/CI AV-E 12 ST	avenue j/ci avenue east twelfth street; avenue j/ci avenue and east twelfth street; avenue j/ci avenue on east twelfth street; east twelfth street avenue j/ci avenue
AV J/CONEY ISLAND AV	avenue j coney island avenue; avenue j and coney island avenue; avenue j on coney island avenue; coney island avenue avenue j
AV J/E 15 ST	avenue j east fifteenth street; avenue j and east fifteenth street; avenue j on east fifteenth street; east fifteenth street avenue j
AV J/E 16 ST	avenue j east sixteenth street; avenue j and east sixteenth street; avenue j on east sixteenth street; east sixteenth street avenue j
AV J/E 18 ST	avenue j east eighteenth street; avenue j and east eighteenth street; avenue j on east eighteenth street; east eighteenth street avenue j
AV J/E 22 ST	avenue j east twenty second street; avenue j and east twenty second street; avenue j on east twenty second street; east twenty second street avenue j
AV J/E 23 ST	avenue j east twenty third street; avenue j and east twenty third street; avenue j on east twenty third street; east twenty third street avenue j
AV J/E 5 ST	avenue j east fifth street; avenue j and east fifth street; avenue j on east fifth street; east fifth street avenue j
AV J/E 8 ST	avenue j east eighth street; avenue j and east eighth street; avenue j on east eighth street; east eighth street avenue j
AV J/OCEAN AV	avenue j ocean avenue; avenue j and ocean avenue; avenue j on ocean avenue; ocean avenue avenue j
AV J/OCEAN PY	avenue j ocean parkway; avenue j and ocean parkway; avenue j on ocean parkway; ocean parkway avenue j
AV K / BEDFORD AV	avenue k bedford avenue; avenue k and bedford avenue; avenue k on bedford avenue; bedford avenue avenue k
AV K / E 29 ST	avenue k east twenty ninth street; avenue k and east twenty ninth street; avenue k on east twenty ninth street; east twenty ninth street avenue k
AV K /E 38 ST	avenue k east thirty eighth street; avenue k and east thirty eighth street; avenue k on east thirty eighth street; east thirty eighth street avenue k
AV K /E 43 ST	avenue k east fourty third street; avenue k and east fourty third street; avenue k on east fourty third street; east fourty third street avenue k
AV K /E 52 ST	avenue k east fifty second street; avenue k and east fifty second street; avenue k on east fifty second street; east fifty second street avenue k
AV K /E 57 ST	avenue k east fifty seventh street; avenue k and east fifty seventh street; avenue k on east fifty seventh street; east fifty seventh street avenue k
AV K /E 58 ST	avenue k east fifty eighth street; avenue k and east fifty eighth street; avenue k on east fifty eighth street; east fifty eighth street avenue k
AV K /NEW YORK AV	avenue k new york avenue; avenue k and new york avenue; avenue k on new york avenue; new york avenue avenue k
AV K/NOSTRAND AV	avenue k nostrand avenue; avenue k and nostrand avenue; avenue k on nostrand avenue; nostrand avenue avenue k
AV K / OCEAN AV	avenue k ocean avenue; avenue k and ocean avenue; avenue k on ocean avenue; ocean avenue avenue k
AV K /SCHENECTADY AV	avenue k schenectady avenue; avenue k and schenectady avenue; avenue k on schenectady avenue; schenectady avenue avenue k
AV K /UTICA AV	avenue k utica avenue; avenue k and utica avenue; avenue k on utica avenue; utica avenue avenue k
AV L/BEDFORD AV	avenue l bedford avenue; avenue l and bedford avenue; avenue l on bedford avenue; bedford avenue avenue l
AV L/E 22 ST	avenue l east twenty second street; avenue l and east twenty second street; avenue l on east twenty second street; east twenty second street avenue l
AV L/E 23 ST	avenue l east twenty third street; avenue l and east twenty third street; avenue l on east twenty third street; east twenty third street avenue l
AV L/E 28 ST	avenue l east twenty eighth street; avenue l and east twenty eighth street; avenue l on east twenty eighth street; east twenty eighth street avenue l
AV L/E 36 ST	avenue l east thirty sixth street; avenue l and east thirty sixth street; avenue l on east thirty sixth street; east thirty sixth street avenue l
AV L/E 82 ST	avenue l east eighty second street; avenue l and east eighty second street; avenue l on east eighty second street; east eighty second street avenue l
AV L/E 83 ST	avenue l east eighty third street; avenue l and east eighty third street; avenue l on east eighty third street; east eighty third street avenue l
AV L/E 84 ST	avenue l east eighty fourth street; avenue l and east eighty fourth street; avenue l on east eighty fourth street; east eighty fourth street avenue l
AV L/E 85 ST	avenue l east eighty fifth street; avenue l and east eighty fifth street; avenue l on east eighty fifth street; east eighty fifth street avenue l
AV L/E 86 ST	avenue l east eighty sixth street; avenue l and east eighty sixth street; avenue l on east eighty sixth street; east eighty sixth street avenue l
AV L/E 87 ST	avenue l east eighty seventh street; avenue l and east eighty seventh street; avenue l on east eighty seventh street; east eighty seventh street avenue l
AV L/E 88 ST	avenue l east eighty eighth street; avenue l and east eighty eighth street; avenue l on east eighty eighth street; east eighty eighth street avenue l
AV L/FLATBUSH AV	avenue l flatbush avenue; avenue l and flatbush avenue; avenue l on flatbush avenue; flatbush avenue avenue l
AV L/NEW YORK AV	avenue l new york avenue; avenue l and new york avenue; avenue l on new york avenue; new york avenue avenue l
AV L/NOSTRAND AV	avenue l nostrand avenue; avenue l and nostrand avenue; avenue l on nostrand avenue; nostrand avenue avenue l
AV L/OCEAN AV	avenue l ocean avenue; avenue l and ocean avenue; avenue l on ocean avenue; ocean avenue avenue l
AV L/REMSEN AV	avenue l remsen avenue; avenue l and remsen avenue; avenue l on remsen avenue; remsen avenue avenue l
AV M / CANARSIE RD	avenue m canarsie road; avenue m and canarsie road; avenue m on canarsie road; canarsie road avenue m
AV M/CONEY ISLAND AV	avenue m coney island avenue; avenue m and coney island avenue; avenue m on coney island avenue; coney island avenue avenue m
AV M / E 102 ST	avenue m east hundred and second street; avenue m and east hundred and second street; avenue m on east hundred and second street; east hundred and second street avenue m; avenue m east one hundred and second street; avenue m and east one hundred and second street; avenue m on east one hundred and second street; east one hundred and second street avenue m
AV M / E 105 ST	avenue m east hundred and fifth street; avenue m and east hundred and fifth street; avenue m on east hundred and fifth street; east hundred and fifth street avenue m; avenue m east one hundred and fifth street; avenue m and east one hundred and fifth street; avenue m on east one hundred and fifth street; east one hundred and fifth street avenue m
AV M/E 13 ST	avenue m east thirteenth street; avenue m and east thirteenth street; avenue m on east thirteenth street; east thirteenth street avenue m
AV M/E 15 ST	avenue m east fifteenth street; avenue m and east fifteenth street; avenue m on east fifteenth street; east fifteenth street avenue m
AV M/E 18 ST	avenue m east eighteenth street; avenue m and east eighteenth street; avenue m on east eighteenth street; east eighteenth street avenue m
AV M/E 7 ST	avenue m east seventh street; avenue m and east seventh street; avenue m on east seventh street; east seventh street avenue m
AV M / E 80 ST	avenue m east eightieth street; avenue m and east eightieth street; avenue m on east eightieth street; east eightieth street avenue m
AV M / E 85 ST	avenue m east eighty fifth street; avenue m and east eighty fifth street; avenue m on east eighty fifth street; east eighty fifth street avenue m
AV M / E 93 ST	avenue m east ninety third street; avenue m and east ninety third street; avenue m on east ninety third street; east ninety third street avenue m
AV M / E 98 ST	avenue m east ninety eighth street; avenue m and east ninety eighth street; avenue m on east ninety eighth street; east ninety eighth street avenue m
AV M/E 9 ST	avenue m east ninth street; avenue m and east ninth street; avenue m on east ninth street; east ninth street avenue m
AV M/OCEAN AV	avenue m ocean avenue; avenue m and ocean avenue; avenue m on ocean avenue; ocean avenue avenue m
AV M / REMSEN AV	avenue m remsen avenue; avenue m and remsen avenue; avenue m on remsen avenue; remsen avenue avenue m
AV M / ROCKAWAY PKY	avenue m rockaway pky; avenue m and rockaway pky; avenue m on rockaway pky; rockaway pky avenue m
AV N/E 3 ST	avenue north east third street; avenue north and east third street; avenue north on east third street; east third street avenue north
AV N/E 45 ST	avenue north east fourty fifth street; avenue north and east fourty fifth street; avenue north on east fourty fifth street; east fourty fifth street avenue north
AV N/E 46 ST	avenue north east fourty sixth street; avenue north and east fourty sixth street; avenue north on east fourty sixth street; east fourty sixth street avenue north
AV N/E 48 ST	avenue north east fourty eighth street; avenue north and east fourty eighth street; avenue north on east fourty eighth street; east fourty eighth street avenue north
AV N/E 52 ST	avenue north east fifty second street; avenue north and east fifty second street; avenue north on east fifty second street; east fifty second street avenue north
AV N/E 53 ST	avenue north east fifty third street; avenue north and east fifty third street; avenue north on east fifty third street; east fifty third street avenue north
AV N/E 54 ST	avenue north east fifty fourth street; avenue north and east fifty fourth street; avenue north on east fifty fourth street; east fifty fourth street avenue north
AV N/E 55 ST	avenue north east fifty fifth street; avenue north and east fifty fifth street; avenue north on east fifty fifth street; east fifty fifth street avenue north
AV N/E 56 ST	avenue north east fifty sixth street; avenue north and east fifty sixth street; avenue north on east fifty sixth street; east fifty sixth street avenue north
AV N/E 57 ST	avenue north east fifty seventh street; avenue north and east fifty seventh street; avenue north on east fifty seventh street; east fifty seventh street avenue north
AV N/E 58 ST	avenue north east fifty eighth street; avenue north and east fifty eighth street; avenue north on east fifty eighth street; east fifty eighth street avenue north
AV N/E 5 ST	avenue north east fifth street; avenue north and east fifth street; avenue north on east fifth street; east fifth street avenue north
AV N/MC DONALD AV	avenue north mc donald avenue; avenue north and mc donald avenue; avenue north on mc donald avenue; mc donald avenue avenue north
AV N/OCEAN PY	avenue north ocean parkway; avenue north and ocean parkway; avenue north on ocean parkway; ocean parkway avenue north
